paises,regioes,continentes,Population (2020),Yearly Change,Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fert. Rate,Med. Age,Urban Pop %,World Share
Cyprus,Western Asia,Asia,1207359.0,0.73,8784.0,131.0,9240.0,5000.0,1.3,37.0,67.0,0.02
Nigeria,Western Africa,Africa,206139589.0,2.58,5175990.0,226.0,910770.0,-60000.0,5.4,18.0,52.0,2.64
Ghana,Western Africa,Africa,31072940.0,2.15,655084.0,137.0,227540.0,-10000.0,3.9,22.0,57.0,0.4
Côte d'Ivoire,Western Africa,Africa,26378274.0,2.57,661730.0,83.0,318000.0,-8000.0,4.7,19.0,51.0,0.34
Niger,Western Africa,Africa,24206644.0,3.84,895929.0,19.0,1266700.0,4000.0,7.0,15.0,17.0,0.31
Burkina Faso,Western Africa,Africa,20903273.0,2.86,581895.0,76.0,273600.0,-25000.0,5.2,18.0,31.0,0.27
Mali,Western Africa,Africa,20250833.0,3.02,592802.0,17.0,1220190.0,-40000.0,5.9,16.0,44.0,0.26
Senegal,Western Africa,Africa,16743927.0,2.75,447563.0,87.0,192530.0,-20000.0,4.7,19.0,49.0,0.21
Guinea,Western Africa,Africa,13132795.0,2.83,361549.0,53.0,245720.0,-4000.0,4.7,18.0,39.0,0.17
Benin,Western Africa,Africa,12123200.0,2.73,322049.0,108.0,112760.0,-2000.0,4.9,19.0,48.0,0.16
Togo,Western Africa,Africa,8278724.0,2.43,196358.0,152.0,54390.0,-2000.0,4.4,19.0,43.0,0.11
Sierra Leone,Western Africa,Africa,7976983.0,2.1,163768.0,111.0,72180.0,-4200.0,4.3,19.0,43.0,0.1
Liberia,Western Africa,Africa,5057681.0,2.44,120307.0,53.0,96320.0,-5000.0,4.4,19.0,53.0,0.06
Mauritania,Western Africa,Africa,4649658.0,2.74,123962.0,5.0,1030700.0,5000.0,4.6,20.0,57.0,0.06
Gambia,Western Africa,Africa,2416668.0,2.94,68962.0,239.0,10120.0,-3087.0,5.3,18.0,59.0,0.03
Guinea-Bissau,Western Africa,Africa,1968001.0,2.45,47079.0,70.0,28120.0,-1399.0,4.5,19.0,45.0,0.03
Cabo Verde,Western Africa,Africa,555987.0,1.1,6052.0,138.0,4030.0,-1342.0,2.3,28.0,68.0,0.01
Saint Helena,Western Africa,Africa,6077.0,0.3,18.0,16.0,390.0,,,,27.0,0.0
Ethiopia,Eastern Africa,Africa,114963588.0,2.57,2884858.0,115.0,1000000.0,30000.0,4.3,19.0,21.0,1.47
Tanzania,Eastern Africa,Africa,59734218.0,2.98,1728755.0,67.0,885800.0,-40076.0,4.9,18.0,37.0,0.77
Kenya,Eastern Africa,Africa,53771296.0,2.28,1197323.0,94.0,569140.0,-10000.0,3.5,20.0,28.0,0.69
Uganda,Eastern Africa,Africa,45741007.0,3.32,1471413.0,229.0,199810.0,168694.0,5.0,17.0,26.0,0.59
Mozambique,Eastern Africa,Africa,31255435.0,2.93,889399.0,40.0,786380.0,-5000.0,4.9,18.0,38.0,0.4
Madagascar,Eastern Africa,Africa,27691018.0,2.68,721711.0,48.0,581795.0,-1500.0,4.1,20.0,39.0,0.36
Malawi,Eastern Africa,Africa,19129952.0,2.69,501205.0,203.0,94280.0,-16053.0,4.3,18.0,18.0,0.25
Zambia,Eastern Africa,Africa,18383955.0,2.93,522925.0,25.0,743390.0,-8000.0,4.7,18.0,45.0,0.24
Zimbabwe,Eastern Africa,Africa,14862924.0,1.48,217456.0,38.0,386850.0,-116858.0,3.6,19.0,38.0,0.19
South Sudan,Eastern Africa,Africa,11193725.0,1.19,131612.0,18.0,610952.0,-174200.0,4.7,19.0,25.0,0.14
Rwanda,Eastern Africa,Africa,12952218.0,2.58,325268.0,525.0,24670.0,-9000.0,4.1,20.0,18.0,0.17
Burundi,Eastern Africa,Africa,11890784.0,3.12,360204.0,463.0,25680.0,2001.0,5.5,17.0,14.0,0.15
Somalia,Eastern Africa,Africa,15893222.0,2.92,450317.0,25.0,627340.0,-40000.0,6.1,17.0,47.0,0.2
Eritrea,Eastern Africa,Africa,3546421.0,1.41,49304.0,35.0,101000.0,-39858.0,4.1,19.0,63.0,0.05
Mauritius,Eastern Africa,Africa,1271768.0,0.17,2100.0,626.0,2030.0,0.0,1.4,37.0,41.0,0.02
Djibouti,Eastern Africa,Africa,988000.0,1.48,14440.0,43.0,23180.0,900.0,2.8,27.0,79.0,0.01
Réunion,Eastern Africa,Africa,895312.0,0.72,6385.0,358.0,2500.0,-1256.0,2.3,36.0,100.0,0.01
Comoros,Eastern Africa,Africa,869601.0,2.2,18715.0,467.0,1861.0,-2000.0,4.2,20.0,29.0,0.01
Mayotte,Eastern Africa,Africa,272815.0,2.5,6665.0,728.0,375.0,0.0,3.7,20.0,46.0,0.0
Seychelles,Eastern Africa,Africa,98347.0,0.62,608.0,214.0,460.0,-200.0,2.5,34.0,56.0,0.0
Egypt,Northern Africa,Africa,102334404.0,1.94,1946331.0,103.0,995450.0,-38033.0,3.3,25.0,43.0,1.31
Sudan,Northern Africa,Africa,43849260.0,2.42,1036022.0,25.0,1765048.0,-50000.0,4.4,20.0,35.0,0.56
Algeria,Northern Africa,Africa,43851044.0,1.85,797990.0,18.0,2381740.0,-10000.0,3.1,29.0,73.0,0.56
Morocco,Northern Africa,Africa,36910560.0,1.2,438791.0,83.0,446300.0,-51419.0,2.4,30.0,64.0,0.47
Tunisia,Northern Africa,Africa,11818619.0,1.06,123900.0,76.0,155360.0,-4000.0,2.2,33.0,70.0,0.15
Libya,Northern Africa,Africa,6871292.0,1.38,93840.0,4.0,1759540.0,-1999.0,2.3,29.0,78.0,0.09
Western Sahara,Northern Africa,Africa,597339.0,2.55,14876.0,2.0,266000.0,5582.0,2.4,28.0,87.0,0.01
South Africa,Southern Africa,Africa,59308690.0,1.28,750420.0,49.0,1213090.0,145405.0,2.4,28.0,67.0,0.76
Namibia,Southern Africa,Africa,2540905.0,1.86,46375.0,3.0,823290.0,-4806.0,3.4,22.0,55.0,0.03
Botswana,Southern Africa,Africa,2351627.0,2.08,47930.0,4.0,566730.0,3000.0,2.9,24.0,73.0,0.03
Lesotho,Southern Africa,Africa,2142249.0,0.8,16981.0,71.0,30360.0,-10047.0,3.2,24.0,31.0,0.03
Angola,Middle Africa,Africa,32866272.0,3.27,1040977.0,26.0,1246700.0,6413.0,5.6,17.0,67.0,0.42
Cameroon,Middle Africa,Africa,26545863.0,2.59,669483.0,56.0,472710.0,-4800.0,4.6,19.0,56.0,0.34
Chad,Middle Africa,Africa,16425864.0,3.0,478988.0,13.0,1259200.0,2000.0,5.8,17.0,23.0,0.21
Central African Republic,Middle Africa,Africa,4829767.0,1.78,84582.0,8.0,622980.0,-40000.0,4.8,18.0,43.0,0.06
Congo,Middle Africa,Africa,5518087.0,2.56,137579.0,16.0,341500.0,-4000.0,4.5,19.0,70.0,0.07
Gabon,Middle Africa,Africa,2225734.0,2.45,53155.0,9.0,257670.0,3260.0,4.0,23.0,87.0,0.03
Equatorial Guinea,Middle Africa,Africa,1402985.0,3.47,46999.0,50.0,28050.0,16000.0,4.6,22.0,73.0,0.02
Sao Tome & Principe,Middle Africa,Africa,219159.0,1.91,4103.0,228.0,960.0,-1680.0,4.4,19.0,74.0,0.0
Germany,Western Europe,Europe,83783942.0,0.32,266897.0,240.0,348560.0,543822.0,1.6,46.0,76.0,1.07
France,Western Europe,Europe,65273511.0,0.22,143783.0,119.0,547557.0,36527.0,1.9,42.0,82.0,0.84
Netherlands,Western Europe,Europe,17134872.0,0.22,37742.0,508.0,33720.0,16000.0,1.7,43.0,92.0,0.22
Belgium,Western Europe,Europe,11589623.0,0.44,50295.0,383.0,30280.0,48000.0,1.7,42.0,98.0,0.15
Austria,Western Europe,Europe,9006398.0,0.57,51296.0,109.0,82409.0,65000.0,1.5,43.0,57.0,0.12
Switzerland,Western Europe,Europe,8654622.0,0.74,63257.0,219.0,39516.0,52000.0,1.5,43.0,74.0,0.11
Luxembourg,Western Europe,Europe,625978.0,1.66,10249.0,242.0,2590.0,9741.0,1.5,40.0,88.0,0.01
Monaco,Western Europe,Europe,39242.0,0.71,278.0,26337.0,1.0,,,,,0.0
Liechtenstein,Western Europe,Europe,38128.0,0.29,109.0,238.0,160.0,,,,15.0,0.0
Russia,Eastern Europe,Europe,145934462.0,0.04,62206.0,9.0,16376870.0,182456.0,1.8,40.0,74.0,1.87
Ukraine,Eastern Europe,Europe,43733762.0,-0.59,-259876.0,75.0,579320.0,10000.0,1.4,41.0,69.0,0.56
Poland,Eastern Europe,Europe,37846611.0,-0.11,-41157.0,124.0,306230.0,-29395.0,1.4,42.0,60.0,0.49
Romania,Eastern Europe,Europe,19237691.0,-0.66,-126866.0,84.0,230170.0,-73999.0,1.6,43.0,55.0,0.25
Hungary,Eastern Europe,Europe,9660351.0,-0.25,-24328.0,107.0,90530.0,6000.0,1.5,43.0,72.0,0.12
Belarus,Eastern Europe,Europe,9449323.0,-0.03,-3088.0,47.0,202910.0,8730.0,1.7,40.0,79.0,0.12
Bulgaria,Eastern Europe,Europe,6948445.0,-0.74,-51674.0,64.0,108560.0,-4800.0,1.6,45.0,76.0,0.09
Slovakia,Eastern Europe,Europe,5459642.0,0.05,2629.0,114.0,48088.0,1485.0,1.5,41.0,54.0,0.07
Moldova,Eastern Europe,Europe,4033963.0,-0.23,-9300.0,123.0,32850.0,-1387.0,1.3,38.0,43.0,0.05
United Kingdom,Northern Europe,Europe,67886011.0,0.53,355839.0,281.0,241930.0,260650.0,1.8,40.0,83.0,0.87
Sweden,Northern Europe,Europe,10099265.0,0.63,62886.0,25.0,410340.0,40000.0,1.9,41.0,88.0,0.13
Denmark,Northern Europe,Europe,5792202.0,0.35,20326.0,137.0,42430.0,15200.0,1.8,42.0,88.0,0.07
Finland,Northern Europe,Europe,5540720.0,0.15,8564.0,18.0,303890.0,14000.0,1.5,43.0,86.0,0.07
Norway,Northern Europe,Europe,5421241.0,0.79,42384.0,15.0,365268.0,28000.0,1.7,40.0,83.0,0.07
Ireland,Northern Europe,Europe,4937786.0,1.13,55291.0,72.0,68890.0,23604.0,1.8,38.0,63.0,0.06
Lithuania,Northern Europe,Europe,2722289.0,-1.35,-37338.0,43.0,62674.0,-32780.0,1.7,45.0,71.0,0.03
Latvia,Northern Europe,Europe,1886198.0,-1.08,-20545.0,30.0,62200.0,-14837.0,1.7,44.0,69.0,0.02
Estonia,Northern Europe,Europe,1326535.0,0.07,887.0,31.0,42390.0,3911.0,1.6,42.0,68.0,0.02
Iceland,Northern Europe,Europe,341243.0,0.65,2212.0,3.0,100250.0,380.0,1.8,37.0,94.0,0.0
Channel Islands,Northern Europe,Europe,173863.0,0.93,1604.0,915.0,190.0,1351.0,1.5,43.0,30.0,0.0
Isle of Man,Northern Europe,Europe,85033.0,0.53,449.0,149.0,570.0,,,,53.0,0.0
Faeroe Islands,Northern Europe,Europe,48863.0,0.38,185.0,35.0,1396.0,,,,43.0,0.0
Italy,Southern Europe,Europe,60461826.0,-0.15,-88249.0,206.0,294140.0,148943.0,1.3,47.0,69.0,0.78
Spain,Southern Europe,Europe,46754778.0,0.04,18002.0,94.0,498800.0,40000.0,1.3,45.0,80.0,0.6
Greece,Southern Europe,Europe,10423054.0,-0.48,-50401.0,81.0,128900.0,-16000.0,1.3,46.0,85.0,0.13
Portugal,Southern Europe,Europe,10196709.0,-0.29,-29478.0,111.0,91590.0,-6000.0,1.3,46.0,66.0,0.13
Serbia,Southern Europe,Europe,8737371.0,-0.4,-34864.0,100.0,87460.0,4000.0,1.5,42.0,56.0,0.11
Croatia,Southern Europe,Europe,4105267.0,-0.61,-25037.0,73.0,55960.0,-8001.0,1.4,44.0,58.0,0.05
Bosnia and Herzegovina,Southern Europe,Europe,3280819.0,-0.61,-20181.0,64.0,51000.0,-21585.0,1.3,43.0,52.0,0.04
Albania,Southern Europe,Europe,2877797.0,-0.11,-3120.0,105.0,27400.0,-14000.0,1.6,36.0,63.0,0.04
North Macedonia,Southern Europe,Europe,2083374.0,0.0,-85.0,83.0,25220.0,-1000.0,1.5,39.0,59.0,0.03
Slovenia,Southern Europe,Europe,2078938.0,0.01,284.0,103.0,20140.0,2000.0,1.6,45.0,55.0,0.03
Montenegro,Southern Europe,Europe,628066.0,0.01,79.0,47.0,13450.0,-480.0,1.8,39.0,68.0,0.01
Malta,Southern Europe,Europe,441543.0,0.27,1171.0,1380.0,320.0,900.0,1.5,43.0,93.0,0.01
Andorra,Southern Europe,Europe,77265.0,0.16,123.0,164.0,470.0,,,,88.0,0.0
Gibraltar,Southern Europe,Europe,33691.0,-0.03,-10.0,3369.0,10.0,,,,,0.0
San Marino,Southern Europe,Europe,33931.0,0.21,71.0,566.0,60.0,,,,97.0,0.0
Holy See,Southern Europe,Europe,801.0,0.25,2.0,2003.0,0.0,,,,,0.0
